,date,cc_data,,dates,I
sc_884,2021-10-01,36,,2021-09-27,60.49950285
sc_884,2021-10-02,62,,2021-09-28,61.52637897
sc_884,2021-10-03,23,,2021-09-29,62.73857935
sc_884,2021-10-04,27,,2021-09-30,64.17416284
sc_884,2021-10-05,84,,2021-10-01,66.23975652
sc_884,2021-10-06,19,,2021-10-02,68.9371697
sc_884,2021-10-07,25,,2021-10-03,71.94092993
sc_884,2021-10-08,20,,2021-10-04,74.83459093
sc_884,2021-10-09,114,,2021-10-05,77.25442844
sc_884,2021-10-10,22,,2021-10-06,78.96872357
sc_884,2021-10-11,21,,2021-10-07,79.88902483
sc_884,2021-10-12,20,,2021-10-08,80.04280389
sc_884,2021-10-13,67,,2021-10-09,79.54567529
sc_884,2021-10-14,32,,2021-10-10,78.56246459
sc_884,2021-10-15,25,,2021-10-11,77.0183782
sc_884,2021-10-16,27,,2021-10-12,74.27108522
sc_884,2021-10-17,20,,2021-10-13,70.14229564
sc_884,2021-10-18,16,,2021-10-14,64.90096242
sc_884,2021-10-19,24,,2021-10-15,59.04095306
sc_884,2021-10-20,16,,2021-10-16,53.13709739
sc_884,2021-10-21,13,,2021-10-17,47.75124748
sc_884,2021-10-22,13,,2021-10-18,43.35908931
sc_884,2021-10-23,18,,2021-10-19,40.28150328
sc_884,2021-10-24,20,,2021-10-20,38.5612548
sc_884,2021-10-25,52,,2021-10-21,37.78887776
sc_884,2021-10-26,17,,2021-10-22,37.70917913
sc_884,2021-10-27,8,,2021-10-23,38.70627029
sc_884,2021-10-28,37,,2021-10-24,40.91388349
sc_884,2021-10-29,45,,2021-10-25,44.21869833
sc_884,2021-10-30,69,,2021-10-26,48.32875177
sc_884,2021-10-31,0,,2021-10-27,52.81405037
sc_884,2021-11-01,16,,2021-10-28,57.15566064
sc_884,2021-11-02,45,,2021-10-29,60.8337776
sc_884,2021-11-03,16,,2021-10-30,63.45800691
sc_884,2021-11-04,10,,2021-10-31,64.98332306
sc_884,2021-11-05,7,,2021-11-01,65.94122908
sc_884,2021-11-06,16,,2021-11-02,66.71437028
sc_884,2021-11-07,17,,2021-11-03,67.25512604
sc_884,2021-11-08,14,,2021-11-04,67.46430636
sc_884,2021-11-09,17,,2021-11-05,67.25902401
sc_884,2021-11-10,37,,2021-11-06,66.61392947
sc_884,2021-11-11,16,,2021-11-07,65.59116663
sc_884,2021-11-12,42,,2021-11-08,64.34942204
sc_884,2021-11-13,11,,2021-11-09,63.10602687
sc_884,2021-11-14,14,,2021-11-10,62.05869185
sc_884,2021-11-15,12,,2021-11-11,61.25577739
sc_884,2021-11-16,10,,2021-11-12,60.53709728
sc_884,2021-11-17,13,,2021-11-13,59.90125167
sc_884,2021-11-18,16,,2021-11-14,59.36012774
sc_884,2021-11-19,10,,2021-11-15,58.88206816
sc_884,2021-11-20,17,,2021-11-16,58.41849465
sc_884,2021-11-21,9,,2021-11-17,57.9203215
sc_884,2021-11-22,30,,2021-11-18,57.34840227
sc_884,2021-11-23,23,,2021-11-19,56.68048066
sc_884,2021-11-24,16,,2021-11-20,55.91101118
sc_884,2021-11-25,15,,2021-11-21,55.05068027
sc_884,2021-11-26,40,,2021-11-22,54.12480717
sc_884,2021-11-27,15,,2021-11-23,53.1676993
sc_884,2021-11-28,20,,2021-11-24,52.19639108
sc_884,2021-11-29,26,,2021-11-25,51.19768983
sc_884,2021-11-30,11,,2021-11-26,50.14671314
sc_884,2021-12-01,23,,2021-11-27,49.02125967
sc_884,2021-12-02,16,,2021-11-28,47.81054719
sc_884,2021-12-03,22,,2021-11-29,46.5207346
sc_884,2021-12-04,13,,2021-11-30,45.1753471
sc_884,2021-12-05,40,,2021-12-01,43.80917285
sc_884,2021-12-06,29,,2021-12-02,42.45612869
sc_884,2021-12-07,24,,2021-12-03,41.12832973
sc_884,2021-12-08,16,,2021-12-04,39.75352346
sc_884,2021-12-09,38,,2021-12-05,38.17285909
sc_884,2021-12-10,21,,2021-12-06,36.37547948
sc_884,2021-12-11,23,,2021-12-07,34.45843868
sc_884,2021-12-12,16,,2021-12-08,32.5526657
sc_884,2021-12-13,35,,2021-12-09,30.77704667
sc_884,2021-12-14,25,,2021-12-10,29.21086588
sc_884,2021-12-15,57,,2021-12-11,27.88767851
sc_884,2021-12-16,20,,2021-12-12,26.80332132
sc_884,2021-12-17,26,,2021-12-13,25.92359539
sc_884,2021-12-18,35,,2021-12-14,25.19477616
sc_884,2021-12-19,42,,2021-12-15,24.58897605
sc_884,2021-12-20,86,,2021-12-16,24.18033118
sc_884,2021-12-21,51,,2021-12-17,24.02360845
sc_884,2021-12-22,40,,2021-12-18,24.12506915
sc_884,2021-12-23,38,,2021-12-19,24.44928893
sc_884,2021-12-24,68,,2021-12-20,24.92477512
sc_884,2021-12-25,122,,2021-12-21,25.44970044
sc_884,2021-12-26,80,,2021-12-22,25.90745165
sc_884,2021-12-27,121,,2021-12-23,26.1905342
sc_884,2021-12-28,113,,2021-12-24,26.24246397
sc_884,2021-12-29,138,,2021-12-25,26.12250639
sc_884,2021-12-30,210,,2021-12-26,25.9506731
sc_884,2021-12-31,229,,2021-12-27,25.72844195
sc_884,2022-01-01,246,,2021-12-28,25.43823163
sc_884,2022-01-02,231,,2021-12-29,25.0674957
sc_884,2022-01-03,202,,2021-12-30,24.61460578
sc_884,2022-01-04,129,,2021-12-31,24.09260551
sc_884,2022-01-05,30,,2022-01-01,23.53022443
sc_884,2022-01-06,599,,2022-01-02,22.9664577
sc_884,2022-01-07,112,,2022-01-03,22.4395199
sc_884,2022-01-08,351,,2022-01-04,21.96779685
sc_884,2022-01-09,851,,2022-01-05,21.52316333
sc_884,2022-01-10,69,,2022-01-06,21.05289271
sc_884,2022-01-11,381,,2022-01-07,20.54617688
sc_884,2022-01-12,125,,2022-01-08,20.02338404
sc_884,2022-01-13,262,,2022-01-09,19.51548757
sc_884,2022-01-14,573,,2022-01-10,19.05095542
sc_884,2022-01-15,37,,2022-01-11,18.64814937
sc_884,2022-01-16,207,,2022-01-12,18.31182147
sc_884,2022-01-17,913,,2022-01-13,18.03490747
sc_884,2022-01-18,438,,2022-01-14,17.80286903
sc_884,2022-01-19,535,,2022-01-15,17.60108126
sc_884,2022-01-20,279,,2022-01-16,17.41814852
sc_884,2022-01-21,22,,2022-01-17,17.23655047
sc_884,2022-01-22,28,,2022-01-18,17.07115444
sc_884,2022-01-23,365,,2022-01-19,16.95610905
sc_884,2022-01-24,349,,2022-01-20,16.92364139
sc_884,2022-01-25,22,,2022-01-21,16.99084242
sc_884,2022-01-26,464,,2022-01-22,17.15097893
sc_884,2022-01-27,585,,2022-01-23,17.37293727
