dates,R_49049,,R_264,,,R_29019,,R_45045,,R_ca354,,R_co116,,R_oh102,,R_wi203
06/03/2022,1.061469189,,0.918522332,,,0.643019164,,1.544393282,,1.055207088,,1.049252307,,0.951720337,,0.763343758
07/03/2022,1.060908501,,0.915745824,,,0.660489611,,1.518175466,,1.061888516,,1.033682584,,0.94749049,,0.782439351
08/03/2022,1.060137872,,0.914399988,,,0.670415842,,1.492029448,,1.065867365,,1.020214574,,0.945660561,,0.796195923
09/03/2022,1.059635683,,0.915100237,,,0.675927592,,1.467027208,,1.066869683,,1.009583858,,0.946971546,,0.802582558
10/03/2022,1.059784603,,0.918453085,,,0.683567739,,1.443565034,,1.065262537,,1.002433434,,0.951633488,,0.801642822
11/03/2022,1.0607536,,0.924385586,,,0.697449745,,1.420976125,,1.062007347,,0.999062605,,0.959305886,,0.795844731
12/03/2022,1.062444972,,0.931200813,,,0.717094228,,1.397597275,,1.058386013,,0.999239772,,0.969443924,,0.789537363
13/03/2022,1.064494276,,0.937336155,,,0.74006093,,1.372031357,,1.055538169,,1.002360533,,0.981562387,,0.787363493
14/03/2022,1.066364483,,0.942763509,,,0.763583132,,1.343988807,,1.054064282,,1.007664913,,0.995316268,,0.792263852
15/03/2022,1.06739165,,0.949113524,,,0.783961917,,1.314384162,,1.054357492,,1.014408074,,1.010464034,,0.806390743
16/03/2022,1.067051791,,0.95870007,,,0.797361503,,1.284668162,,1.056535087,,1.021954,,1.026779439,,0.830713587
17/03/2022,1.065187034,,0.973166135,,,0.801679014,,1.255992928,,1.060368446,,1.029838062,,1.043966212,,0.864183804
18/03/2022,1.062077571,,0.993274415,,,0.797889696,,1.228937729,,1.065131324,,1.037844777,,1.06157078,,0.903644304
19/03/2022,1.058498359,,1.020157496,,,0.789972149,,1.203611208,,1.068720688,,1.046046567,,1.078709191,,0.944995608
20/03/2022,1.055257121,,1.054409971,,,0.782757047,,1.179864176,,1.068999074,,1.054540896,,1.094113517,,0.984528903
21/03/2022,1.052830263,,1.09584924,,,0.778485227,,1.157469477,,1.065158224,,1.063215451,,1.106589109,,1.019327834
22/03/2022,1.051249587,,1.142777738,,,0.778037706,,1.136208793,,1.05804589,,1.071675473,,1.115711817,,1.048297561
23/03/2022,1.050153603,,1.192040622,,,0.781663823,,1.116096119,,1.049756241,,1.079378967,,1.121929368,,1.072569775
24/03/2022,1.048929187,,1.23968509,,,0.789136352,,1.0975954,,1.042882588,,1.085906954,,1.126056361,,1.095004877
25/03/2022,1.046881776,,1.28156497,,,0.799568985,,1.081358781,,1.039967498,,1.091022214,,1.128922404,,1.118893869
26/03/2022,1.04326913,,1.313655781,,,0.811963055,,1.067865983,,1.043968067,,1.094678826,,1.131208904,,1.146084012
27/03/2022,1.037673519,,1.332723851,,,0.825872574,,1.057783108,,1.056971078,,1.097043788,,1.13334786,,1.176080807
28/03/2022,1.030162671,,1.337555517,,,0.841703478,,1.051351015,,1.079086963,,1.098464394,,1.135350848,,1.20692313
29/03/2022,1.021081656,,1.329138003,,,0.860395344,,1.04791065,,1.108471264,,1.099377273,,1.136550273,,1.235580768
30/03/2022,1.010648111,,1.309189248,,,0.882348862,,1.045936683,,1.142057504,,1.100155241,,1.135830891,,1.258751214
31/03/2022,0.999009306,,1.280382943,,,0.906459618,,1.043452017,,1.176594313,,1.100919355,,1.132271474,,1.274053186
01/04/2022,0.986340364,,1.246366714,,,0.930894208,,1.038732044,,1.209620578,,1.10158129,,1.125521568,,1.281076817
02/04/2022,0.972877541,,1.211249949,,,0.954033229,,1.030866289,,1.239868689,,1.101943912,,1.115876476,,1.281287156
03/04/2022,0.958932854,,1.178742441,,,0.973961028,,1.019385968,,1.267111885,,1.101769274,,1.103680732,,1.277061655
04/04/2022,0.94494142,,1.151023561,,,0.988835142,,1.004527717,,1.291605368,,1.100856675,,1.089029035,,1.270730649
05/04/2022,0.931607737,,1.128983307,,,0.998007184,,0.987181777,,1.313324764,,1.099132038,,1.072198355,,1.264093678
06/04/2022,0.920092453,,1.11305481,,,1.00258733,,0.96819642,,1.331510163,,1.09661711,,1.05383941,,1.258208339
07/04/2022,0.911625171,,1.102980937,,,1.005108118,,0.947773716,,1.344718856,,1.093198047,,1.034923413,,1.253214563
08/04/2022,0.906974753,,1.09784947,,,1.008253448,,0.925646387,,1.35139011,,1.088801019,,1.016570976,,1.248223024
09/04/2022,0.906315663,,1.09657556,,,1.013264179,,0.901283954,,1.350830488,,1.083548219,,0.999871085,,1.24174869
10/04/2022,0.9095607,,1.09815034,,,1.020607909,,0.874023969,,1.34370376,,1.077779472,,0.986175606,,1.232458415
11/04/2022,0.91637002,,1.101648344,,,1.03034531,,0.843213146,,1.331234833,,1.071973808,,0.977153002,,1.219713405
12/04/2022,0.926118751,,1.106226583,,,1.042317431,,0.808514608,,1.315025575,,1.066615902,,0.974165709,,1.203679498
13/04/2022,0.937927164,,1.111383239,,,1.056526899,,0.770530212,,1.296924591,,1.062151245,,0.977770538,,1.185177414
14/04/2022,0.950807793,,1.116982595,,,1.07274879,,0.731202,,1.278792389,,1.059131812,,0.987880426,,1.165006048
15/04/2022,0.963957013,,1.12315091,,,1.090358178,,0.693228737,,1.262170367,,1.058020376,,1.005065203,,1.142730056
16/04/2022,0.976740365,,1.129847112,,,1.108405831,,0.659116589,,1.247845813,,1.059008163,,1.029685565,,1.117691793
17/04/2022,0.988287342,,1.136554423,,,1.12574523,,0.63004853,,1.235721298,,1.061947892,,1.060911923,,1.089900844
18/04/2022,0.997631662,,1.142650836,,,1.141084606,,0.606243995,,1.225435604,,1.066390636,,1.096420954,,1.060231633
19/04/2022,1.004106371,,1.147785941,,,1.152806916,,0.587483328,,1.216545603,,1.071721503,,1.132746446,,1.03020548
20/04/2022,1.007605505,,1.152000276,,,1.159137671,,0.57318802,,1.208623252,,1.077356019,,1.166103912,,1.00164355
21/04/2022,1.00842763,,1.155547916,,,1.159326497,,0.562301409,,1.201487942,,1.082877735,,1.192921113,,0.976705701
22/04/2022,1.007027694,,1.15854586,,,1.153064221,,0.553273268,,1.195420228,,1.088080001,,1.209352883,,0.958598789
23/04/2022,1.00387343,,1.160866194,,,1.139544526,,0.544736042,,1.190716087,,1.092938693,,1.212778539,,0.950585165
24/04/2022,0.999400392,,1.162464663,,,1.119120091,,0.537136753,,1.187384963,,1.097544676,,1.202930687,,0.954943762
25/04/2022,0.993970654,,1.163250368,,,1.093932012,,0.531814491,,1.185113895,,1.102005952,,1.181933477,,0.97229474
26/04/2022,0.987746967,,1.162797431,,,1.067381443,,0.529413617,,1.183371719,,1.106335804,,1.153011644,,1.001298062
