county,county_population,covid_cases_per_100k
Halifax County,5370944.0,19255.05
Hall County,16996071.0,24812.13
Hamblen County,4155776.0,8651.77
Hamilton County,101462080.0,56738.24
Hamlin County,394496.0,5678.15
Hampden County,29847808.0,9107.76
Hampshire County,11776320.0,16255.550000000001
Hampton City,8608640.0,9046.91
Hampton County,1230208.0,5795.41
Hancock County,21565672.0,67001.75
Hand County,204224.0,4105.32
Hanover County,6897024.0,7801.15
Hansford County,345536.0,8872.01
Hanson County,220992.0,3011.84
Haralson County,1906688.0,3272.7200000000003
Hardee County,1723968.0,6808.46
Hardeman County,1854912.0,11906.86
Hardin County,15733964.0,47093.79
Harding County,121774.0,6494.89
Hardy County,881664.0,12383.85
Harford County,16348224.0,5188.24
Harlan County,1880960.0,14771.16
Harmon County,169792.0,15755.710000000001
Harnett County,8702464.0,8223.51
Harney County,473152.0,5951.62
Harper County,583936.0,9577.23
Harris County,303907904.0,9635.55
Harrison County,26814277.0,54258.3
Harrisonburg City,3393024.0,6141.56
Hart County,2895360.0,9766.47
Hartford County,57070080.0,6729.21
Hartley County,356864.0,3515.0499999999997
Harvey County,2203456.0,7711.49
Haskell County,1424192.0,15248.27
Hatillo Muni,2509952.0,19457.94
Hawaii County,12896832.0,8403.4
Hawkins County,3634304.0,10312.39
Hayes County,59008.0,5206.08
Hays County,14732224.0,8949.1
Haywood County,5095744.0,20101.1
Heard County,763072.0,3723.91
Hemphill County,244416.0,10447.67
Hempstead County,1378048.0,5698.53
Henderson County,17928128.0,35849.23
Hendricks County,10899904.0,4605.6900000000005
Hendry County,2689408.0,5278.2
Hennepin County,81013952.0,7777.66
Henrico County,21172352.0,9449.89
Henry County,33003075.0,75503.82
Herkimer County,3924416.0,7115.23
Hernando County,12410880.0,6621.27
