dates,,R_gallax,,R_McMullen,,R_Robertson,,R_King,,R_SantaCruz,,R_Kauai
05/09/2020,247,1.006891848,,1.056906996,,1.148328871,,1.028026082,,1.039398338,,1.01150763
06/09/2020,248,1.006670149,,1.056661418,,1.147220767,,1.028364365,,1.039042924,,1.011872761
07/09/2020,249,1.006586585,,1.056439998,,1.146087183,,1.02874925,,1.038731362,,1.012313921
08/09/2020,250,1.006626832,,1.056241406,,1.144931076,,1.029181415,,1.038464541,,1.012830184
09/09/2020,251,1.006774617,,1.056064306,,1.143755526,,1.029661177,,1.038243352,,1.013420608
10/09/2020,252,1.007015661,,1.055907357,,1.142563658,,1.030188547,,1.038068731,,1.014084621
11/09/2020,253,1.00733947,,1.055769209,,1.141358539,,1.030763323,,1.037941702,,1.014822282
12/09/2020,254,1.007739881,,1.055648491,,1.140143058,,1.031385176,,1.037863391,,1.015634352
13/09/2020,255,1.008214697,,1.055543799,,1.138919784,,1.032053674,,1.037835012,,1.016522195
14/09/2020,256,1.00876474,,1.055453689,,1.137690857,,1.032768277,,1.03785779,,1.017487731
15/09/2020,257,1.009392031,,1.055376682,,1.136457935,,1.033528261,,1.037932869,,1.018533181
16/09/2020,258,1.010096919,,1.05531127,,1.135222205,,1.034332586,,1.038061265,,1.019660576
17/09/2020,259,1.010876894,,1.055255934,,1.133984446,,1.035179761,,1.038243795,,1.020871252
18/09/2020,260,1.011725439,,1.055209153,,1.132745121,,1.036067738,,1.038481022,,1.022165455
19/09/2020,261,1.012628263,,1.055169423,,1.131504465,,1.03699381,,1.038773248,,1.023542116
20/09/2020,262,1.013560859,,1.055135277,,1.130262581,,1.037954578,,1.039120547,,1.024998711
21/09/2020,263,1.014488435,,1.055105296,,1.129019534,,1.038945966,,1.039522781,,1.026531107
22/09/2020,264,1.015367946,,1.055078122,,1.127775422,,1.039963307,,1.039979565,,1.02813348
23/09/2020,265,1.016151668,,1.055052461,,1.126530434,,1.041001568,,1.040490218,,1.029798339
24/09/2020,266,1.016791726,,1.055027081,,1.12528486,,1.042055591,,1.041053755,,1.031516661
25/09/2020,267,1.017245652,,1.055000816,,1.124039095,,1.043120298,,1.041668945,,1.03327813
26/09/2020,268,1.017484503,,1.054972566,,1.122793634,,1.044190867,,1.042334417,,1.035071432
27/09/2020,269,1.017499301,,1.054941294,,1.121549061,,1.045262877,,1.043048784,,1.03688457
28/09/2020,270,1.017304451,,1.054906032,,1.120306028,,1.046332416,,1.04381074,,1.038705191
29/09/2020,271,1.016936339,,1.054865879,,1.119065247,,1.047396123,,1.044619204,,1.040521071
30/09/2020,272,1.016448181,,1.05482001,,1.117827463,,1.048451085,,1.045473414,,1.042320681
01/10/2020,273,1.015902741,,1.054767683,,1.116593437,,1.049494655,,1.046372947,,1.044093597
02/10/2020,274,1.015364549,,1.05470824,,1.115363934,,1.050524268,,1.047317727,,1.045830723
