Dates,JH_S,CDC_S,JH_CASE_S,JH,CDC,CDC_DEATHS,JH_DEATHS
203,1559,6267.02,295633,5.470752911,3.797061081,2.772321707,3.192846115
204,60,9790.97,8405,3.924537718,3.99082572,1.322219295,1.77815125
205,245,8747.42,39170,4.592953572,3.941879979,0,2.389166084
206,3001,8193.58,329460,5.517802694,3.913473698,2.906873535,3.477265995
207,58,7272,7811,3.892706638,3.86165387,2.326335861,1.763427994
208,170,7519.42,29324,4.467223211,3.876184343,2.274157849,2.230448921
209,978,8466.19,88972,4.949253353,3.927688011,3.94875518,2.990338855
210,63,4863.64,6072,3.783331763,3.686961422,3.0923697,1.799340549
211,2625,4043.24,310792,5.492469831,3.606729521,1.380211242,3.419129308
212,481,8079.32,67356,4.828376288,3.90737481,3.929316727,2.682145076
213,157,7800.69,14941,4.174379666,3.892133019,3.581949658,2.195899652
214,66,5973.64,11319,4.05380806,3.776239046,2,1.819543936
215,35545,6993.24,3710586,6.569442502,3.844678433,3.948315141,4.550778519
216,388,6091.68,55217,4.742072807,3.784737081,3.891425943,2.588831726
217,317,7156.92,54908,4.739635625,3.854726163,3.050766311,2.501059262
218,42,7098.53,4545,3.657533888,3.851168422,3.405175546,1.62324929
219,143,7721.92,21739,4.337239563,3.887725298,2.705007959,2.155336037
220,903,9336.4,89409,4.951381238,3.97017945,2.986323777,2.95568775
221,11,7986.23,1327,3.122870923,3.902341814,2.984527313,1.041392685
222,8,8916.6,3633,3.560265398,3.950199285,3.516535374,0.903089987
223,804,9587.21,122120,5.086786796,3.98169224,2.651278014,2.905256049
224,170,7575.34,35992,4.55620598,3.87940213,2.911690159,2.230448921
225,133,7376.97,22495,4.352085998,3.867878017,0,2.123851641
226,7971,9645.79,788663,5.896891466,3.984337803,2.056904851,3.901512809
227,0,7369.55,0,0,3.86744097,2.959518377,0
228,682,9849.15,91376,4.960832143,3.993398752,2.91750551,2.833784375
229,15,9603.85,4290,3.632457292,3.982445368,3.432006687,1.176091259
230,6853,5156.03,776620,5.890208571,3.712315436,1.973127854,3.835880732
231,3719,2362.76,409095,5.611824172,3.37341961,2.29666519,3.570426178
232,117,5050.62,18800,4.274157849,3.703344694,0,2.068185862
233,8170,9027.06,745179,5.872260607,3.955546329,3.197556213,3.912222057
234,5799,7683.83,1067659,6.028432565,3.885577748,2.356025857,3.763353109
235,1178,7049.01,209846,5.321900695,3.848128127,3.26904571,3.07114529
236,2421,6951.59,227031,5.356085162,3.84208415,2.5132176,3.383994789
237,561,5780.22,74632,4.87292508,3.761944368,2.496929648,2.748962861
238,912,4859.58,194587,5.289113822,3.686598736,3.244277121,2.959994838
239,763,8930.82,119952,5.079007494,3.950891336,1.892094603,2.882524538
240,2727,10250,497526,5.696815781,4.010723865,3.190331698,3.435685138
241,276,7263.42,72428,4.859906493,3.861141158,0,2.440909082
242,607,7815.4,44785,4.651132579,3.892951211,1.113943352,2.783188691
243,5,7149.04,372,2.57054294,3.854247727,1.204119983,0.698970004
244,96,5813.26,8908,3.949780208,3.764419747,2.910090546,1.982271233
245,482,9529.92,122718,5.088908269,3.979089255,1.908485019,2.683047038
246,556,6347.79,119546,5.077535049,3.802622551,1.653212514,2.745074792
247,1845,4939.75,168343,5.226195062,3.69370497,0,3.26599637
248,241,6115.72,28309,4.451924528,3.786447594,0,2.382017043
249,234,8588.84,17875,4.25224605,3.933934512,1.380211242,2.369215857
250,24,7854.49,1981,3.296884476,3.895117991,0,1.380211242
251,1578,6599.02,168754,5.227254076,3.819479445,1.113943352,3.198106999
252,203,4779.96,17914,4.25319257,3.679424262,0,2.307496038
253,0,4369.1,4384,3.641870545,3.640391985,2.1430148,0
254,1679,3350.56,239184,5.378732125,3.525117399,3.186673867,3.225050696
255,443,7263.89,54973,4.740149438,3.861169259,0,2.646403726
256,135,7383.57,21924,4.340919793,3.868266397,2.837588438,2.130333768
257,1466,4553.72,166371,5.221077627,3.658366323,1.301029996,3.16613397
258,68,3729.22,5953,3.774735883,3.571618005,1.361727836,1.832508913
259,1368,3760.99,197066,5.294611701,3.575302179,3.361160995,3.136086097
260,24,7067.11,3534,3.548266545,3.849241851,2.184691431,1.380211242
261,17,3357.63,1027,3.011570444,3.526032837,1.973127854,1.230448921
262,50,6023.83,3004,3.477699928,3.779872707,0,1.698970004
263,447,4493.3,91179,4.959894825,3.652565416,1.079181246,2.650307523
264,133,3696.39,18376,4.264250982,3.567777787,0,2.123851641
265,56,6838.92,5662,3.752969865,3.834987523,1.505149978,1.748188027
266,12,8359.26,392,2.593286067,3.922167833,3.204662512,1.079181246
267,13,5189.65,1931,3.285782274,3.715138069,0,1.113943352
268,58,3043.44,2303,3.362293938,3.483364744,1.113943352,1.763427994
269,19,3063.44,961,2.982723388,3.486209379,0,1.278753601
270,33,3865.55,3558,3.551205944,3.587211295,2.181843588,1.51851394
271,23,4024.35,837,2.922725458,3.604695745,2.939519253,1.361727836
272,161,5640.16,7202,3.857453117,3.751291424,1.322219295,2.206825876
273,1524,2514.39,224919,5.352026144,3.400432641,0,3.182984967
274,8,5968.97,424,2.627365857,3.775899396,1.963787827,0.903089987
275,498,4125.15,100968,5.004183754,3.615439745,2.898176483,2.697229343
276,39,3762.14,18833,4.274919506,3.575434953,0,1.591064607
277,1904,4146.6,237195,5.37510553,3.617692143,1.633468456,3.279666944
278,48,6006.7,5836,3.766115283,3.778635942,1.579783597,1.681241237
279,210,8331.23,18767,4.273394854,3.920709124,2.278753601,2.322219295
280,104,6859.25,18041,4.256260607,3.836276632,1.986771734,2.017033339
281,7,3736.16,1171,3.068556895,3.572425466,1.832508913,0.84509804
282,30,6238.48,4053,3.607776604,3.795078787,0,1.477121255
283,16,6501.53,3970,3.598790507,3.813015571,1,1.204119983
284,0,10013.05,161,2.206825876,4.000566385,1.113943352,0
285,41,5593.68,1764,3.246498581,3.747697618,0,1.612783857
286,0,6779.24,195,2.290034611,3.831181009,1.477121255,0
287,1554,4677.45,160677,5.205953714,3.670009154,2.973589623,3.191451014
288,6,4651.13,392,2.593286067,3.667558478,1.113943352,0.77815125
289,32,6056.51,1877,3.273464273,3.782222439,1.322219295,1.505149978
290,99,5209.99,15836,4.199645493,3.71683689,1.462397998,1.995635195
291,2,3067.18,2203,3.343014497,3.486739264,0,0.301029996
292,606,5603.79,109313,5.038671813,3.748481852,0,2.782472624
293,51,7592.72,4408,3.644241586,3.880397385,0,1.707570176
294,11,5340.13,2382,3.376941757,3.72755183,1.176091259,1.041392685
295,119,8959.54,8661,3.937568039,3.952285713,1.51851394,2.075546961
296,639,8538.88,51841,4.71467337,3.93140091,1,2.805500858
297,4,7925.8,303,2.481442629,3.899043109,2.826074803,0.602059991
298,55,6205.64,3738,3.572639297,3.792786578,1.322219295,1.740362689
299,90,5539.25,7673,3.884965198,3.743450966,3.502836639,1.954242509
