,date,cc_data,,dates,I
ca_354,2022-05-26,80,,2022-05-12,83.0697365
ca_354,2022-05-27,99,,2022-05-13,84.35647153
ca_354,2022-05-28,47,,2022-05-14,85.34981991
ca_354,2022-05-29,63,,2022-05-15,86.02271507
ca_354,2022-05-30,54,,2022-05-16,86.42347028
ca_354,2022-05-31,111,,2022-05-17,86.65149695
ca_354,2022-06-01,121,,2022-05-18,86.81653177
ca_354,2022-06-02,100,,2022-05-19,86.97342038
ca_354,2022-06-03,84,,2022-05-20,87.08967965
ca_354,2022-06-04,80,,2022-05-21,87.1836171
ca_354,2022-06-05,58,,2022-05-22,87.2189659
ca_354,2022-06-06,120,,2022-05-23,87.11657127
ca_354,2022-06-07,101,,2022-05-24,86.80095191
ca_354,2022-06-08,68,,2022-05-25,86.23031638
ca_354,2022-06-09,57,,2022-05-26,85.41722404
ca_354,2022-06-10,55,,2022-05-27,84.43383495
ca_354,2022-06-11,55,,2022-05-28,83.38911153
ca_354,2022-06-12,60,,2022-05-29,82.39026847
ca_354,2022-06-13,110,,2022-05-30,81.48038365
ca_354,2022-06-14,52,,2022-05-31,80.56100652
ca_354,2022-06-15,76,,2022-06-01,79.47817262
ca_354,2022-06-16,56,,2022-06-02,78.18677385
ca_354,2022-06-17,55,,2022-06-03,76.72403516
ca_354,2022-06-18,67,,2022-06-04,75.16539942
ca_354,2022-06-19,52,,2022-06-05,73.59637558
ca_354,2022-06-20,89,,2022-06-06,72.09768287
ca_354,2022-06-21,95,,2022-06-07,70.73603579
ca_354,2022-06-22,65,,2022-06-08,69.56013834
ca_354,2022-06-23,66,,2022-06-09,68.59421224
ca_354,2022-06-24,58,,2022-06-10,67.82509909
ca_354,2022-06-25,52,,2022-06-11,67.18833995
ca_354,2022-06-26,50,,2022-06-12,66.65069022
ca_354,2022-06-27,98,,2022-06-13,66.25553902
ca_354,2022-06-28,66,,2022-06-14,66.03871598
ca_354,2022-06-29,69,,2022-06-15,66.01478715
ca_354,2022-06-30,72,,2022-06-16,66.17226555
ca_354,2022-07-01,72,,2022-06-17,66.47004569
ca_354,2022-07-02,59,,2022-06-18,66.83592607
ca_354,2022-07-03,35,,2022-06-19,67.17856406
ca_354,2022-07-04,65,,2022-06-20,67.40683836
ca_354,2022-07-05,97,,2022-06-21,67.4635113
ca_354,2022-07-06,88,,2022-06-22,67.37815694
ca_354,2022-07-07,66,,2022-06-23,67.27984522
ca_354,2022-07-08,71,,2022-06-24,67.23146062
ca_354,2022-07-09,53,,2022-06-25,67.22555597
ca_354,2022-07-10,48,,2022-06-26,67.22515042
ca_354,2022-07-11,60,,2022-06-27,67.18730748
ca_354,2022-07-12,69,,2022-06-28,67.07806373
ca_354,2022-07-13,63,,2022-06-29,66.88164423
ca_354,2022-07-14,58,,2022-06-30,66.60089479
ca_354,2022-07-15,88,,2022-07-01,66.25210987
ca_354,2022-07-16,45,,2022-07-02,65.85765846
ca_354,2022-07-17,44,,2022-07-03,65.43462855
ca_354,2022-07-18,64,,2022-07-04,65.00753821
ca_354,2022-07-19,62,,2022-07-05,64.64423161
ca_354,2022-07-20,69,,2022-07-06,64.33445306
ca_354,2022-07-21,67,,2022-07-07,64.01216638
ca_354,2022-07-22,45,,2022-07-08,63.60059415
ca_354,2022-07-23,46,,2022-07-09,63.04137634
ca_354,2022-07-24,37,,2022-07-10,62.31383171
ca_354,2022-07-25,77,,2022-07-11,61.4371492
ca_354,2022-07-26,57,,2022-07-12,60.45704158
ca_354,2022-07-27,64,,2022-07-13,59.42594659
ca_354,2022-07-28,49,,2022-07-14,58.37233255
ca_354,2022-07-29,37,,2022-07-15,57.2535382
ca_354,2022-07-30,31,,2022-07-16,55.98093585
ca_354,2022-07-31,34,,2022-07-17,54.52639135
ca_354,2022-08-01,38,,2022-07-18,52.91223223
ca_354,2022-08-02,38,,2022-07-19,51.18878881
ca_354,2022-08-03,36,,2022-07-20,49.42048924
ca_354,2022-08-04,24,,2022-07-21,47.67786144
ca_354,2022-08-05,35,,2022-07-22,46.02925935
ca_354,2022-08-06,32,,2022-07-23,44.53128311
ca_354,2022-08-07,34,,2022-07-24,43.21228489
ca_354,2022-08-08,57,,2022-07-25,42.04690131
ca_354,2022-08-09,37,,2022-07-26,40.95697262
ca_354,2022-08-10,36,,2022-07-27,39.93735533
ca_354,2022-08-11,40,,2022-07-28,39.01922138
ca_354,2022-08-12,30,,2022-07-29,38.23043852
ca_354,2022-08-13,22,,2022-07-30,37.58471369
ca_354,2022-08-14,30,,2022-07-31,37.07462887
ca_354,2022-08-15,35,,2022-08-01,36.66644716
ca_354,2022-08-16,45,,2022-08-02,36.30170919
ca_354,2022-08-17,32,,2022-08-03,35.91015297
