,date,cc_data,,dates,I
co_116,2021-02-05,94,,2020-12-14,60.38063713
co_116,2021-02-06,64,,2020-12-15,57.87944025
co_116,2021-02-07,38,,2020-12-16,55.88829943
co_116,2021-02-08,41,,2020-12-17,54.37037865
co_116,2021-02-09,77,,2020-12-18,53.21427875
co_116,2021-02-10,77,,2020-12-19,52.27765915
co_116,2021-02-11,110,,2020-12-20,51.58447231
co_116,2021-02-12,62,,2020-12-21,51.22455242
co_116,2021-02-13,72,,2020-12-22,51.27602977
co_116,2021-02-14,51,,2020-12-23,51.77901304
co_116,2021-02-15,79,,2020-12-24,52.7172827
co_116,2021-02-16,67,,2020-12-25,54.00437704
co_116,2021-02-17,77,,2020-12-26,55.47793795
co_116,2021-02-18,75,,2020-12-27,56.92854804
co_116,2021-02-19,46,,2020-12-28,58.14788369
co_116,2021-02-20,37,,2020-12-29,59.00161049
co_116,2021-02-21,25,,2020-12-30,59.53284222
co_116,2021-02-22,66,,2020-12-31,59.99083141
co_116,2021-02-23,70,,2021-01-01,60.51460447
co_116,2021-02-24,89,,2021-01-02,61.17318873
co_116,2021-02-25,80,,2021-01-03,61.95584847
co_116,2021-02-26,51,,2021-01-04,62.805219
co_116,2021-02-27,88,,2021-01-05,63.64671204
co_116,2021-02-28,59,,2021-01-06,64.40880816
co_116,2021-03-01,56,,2021-01-07,65.03778119
co_116,2021-03-02,77,,2021-01-08,65.50560922
co_116,2021-03-03,70,,2021-01-09,65.80899814
co_116,2021-03-04,43,,2021-01-10,65.96634198
co_116,2021-03-05,55,,2021-01-11,66.01217304
co_116,2021-03-06,40,,2021-01-12,65.98665519
co_116,2021-03-07,32,,2021-01-13,65.88349213
co_116,2021-03-08,40,,2021-01-14,65.61583234
co_116,2021-03-09,37,,2021-01-15,65.14568346
co_116,2021-03-10,72,,2021-01-16,64.48976038
co_116,2021-03-11,56,,2021-01-17,63.69772543
co_116,2021-03-12,64,,2021-01-18,62.83597709
co_116,2021-03-13,73,,2021-01-19,61.97687327
co_116,2021-03-14,62,,2021-01-20,61.18971543
co_116,2021-03-15,54,,2021-01-21,60.53454482
co_116,2021-03-16,99,,2021-01-22,60.0546696
co_116,2021-03-17,110,,2021-01-23,59.76354558
co_116,2021-03-18,104,,2021-01-24,59.62526807
co_116,2021-03-19,85,,2021-01-25,59.53077897
co_116,2021-03-20,38,,2021-01-26,59.37078293
co_116,2021-03-21,56,,2021-01-27,59.1520476
co_116,2021-03-22,90,,2021-01-28,58.95354885
co_116,2021-03-23,64,,2021-01-29,58.87509305
co_116,2021-03-24,101,,2021-01-30,59.00194501
co_116,2021-03-25,103,,2021-01-31,59.38149
co_116,2021-03-26,80,,2021-02-01,60.00767079
co_116,2021-03-27,89,,2021-02-02,60.82923699
co_116,2021-03-28,44,,2021-02-03,61.76889773
co_116,2021-03-29,108,,2021-02-04,62.75213285
co_116,2021-03-30,76,,2021-02-05,63.74970229
co_116,2021-03-31,127,,2021-02-06,64.80863852
co_116,2021-04-01,128,,2021-02-07,65.99095645
co_116,2021-04-02,82,,2021-02-08,67.35103019
co_116,2021-04-03,112,,2021-02-09,68.91438667
co_116,2021-04-04,112,,2021-02-10,70.67847748
co_116,2021-04-05,69,,2021-02-11,72.61436046
co_116,2021-04-06,141,,2021-02-12,74.66757424
co_116,2021-04-07,107,,2021-02-13,76.75952676
co_116,2021-04-08,84,,2021-02-14,78.79838742
co_116,2021-04-09,76,,2021-02-15,80.6971364
co_116,2021-04-10,99,,2021-02-16,82.39986559
co_116,2021-04-11,64,,2021-02-17,83.91890518
co_116,2021-04-12,119,,2021-02-18,85.35913439
co_116,2021-04-13,120,,2021-02-19,86.77970227
co_116,2021-04-14,102,,2021-02-20,88.20160217
co_116,2021-04-15,106,,2021-02-21,89.61040143
co_116,2021-04-16,87,,2021-02-22,90.96978169
co_116,2021-04-17,71,,2021-02-23,92.24244685
co_116,2021-04-18,77,,2021-02-24,93.40426565
