,date,cc_data
ut_17,2022-02-08,46
ut_17,2022-06-02,46
ut_17,2022-07-05,46
ut_17,2021-02-08,47
ut_17,2021-10-05,47
ut_17,2021-12-08,47
ut_17,2021-12-23,47
ut_17,2021-09-09,48
ut_17,2021-09-15,48
ut_17,2021-11-20,48
ut_17,2022-05-31,48
ut_17,2021-02-09,49
ut_17,2021-08-18,49
ut_17,2021-09-20,49
ut_17,2021-11-24,49
ut_17,2020-12-24,50
ut_17,2021-01-10,50
ut_17,2021-01-26,50
ut_17,2021-01-27,50
ut_17,2021-08-09,50
ut_17,2021-09-14,50
ut_17,2021-11-18,50
ut_17,2021-09-01,51
ut_17,2021-10-11,51
ut_17,2022-07-12,51
ut_17,2021-01-16,52
ut_17,2021-08-20,52
ut_17,2021-09-29,52
ut_17,2021-12-07,52
ut_17,2020-12-05,53
ut_17,2021-10-08,53
ut_17,2021-10-14,53
ut_17,2021-11-17,53
ut_17,2021-10-27,54
ut_17,2021-12-26,54
ut_17,2020-12-06,55
ut_17,2021-09-21,55
ut_17,2021-10-19,55
ut_17,2021-09-07,56
ut_17,2021-10-29,56
ut_17,2021-02-10,57
ut_17,2021-10-28,57
ut_17,2021-11-13,57
ut_17,2021-12-01,57
ut_17,2021-12-06,57
ut_17,2022-02-09,57
ut_17,2020-12-20,58
ut_17,2021-01-01,58
ut_17,2021-09-02,58
ut_17,2021-08-31,59
ut_17,2021-10-21,59
ut_17,2021-11-08,59
ut_17,2020-12-22,60
ut_17,2021-01-21,60
ut_17,2021-08-30,60
ut_17,2021-10-04,60
ut_17,2021-11-03,60
ut_17,2021-11-23,60
ut_17,2022-01-30,60
ut_17,2021-11-12,61
ut_17,2021-11-16,62
ut_17,2021-11-26,62
ut_17,2021-12-02,62
ut_17,2022-02-02,62
ut_17,2021-10-18,63
ut_17,2021-11-30,63
ut_17,2021-09-08,64
ut_17,2020-12-12,66
ut_17,2021-01-22,66
ut_17,2021-11-02,66
ut_17,2021-09-13,67
ut_17,2020-11-29,68
ut_17,2020-12-13,68
ut_17,2021-10-25,70
ut_17,2021-11-04,70
ut_17,2021-11-05,70
ut_17,2021-01-15,71
ut_17,2021-01-25,71
ut_17,2022-02-04,72
ut_17,2021-01-14,74
ut_17,2022-02-07,74
ut_17,2021-11-01,75
ut_17,2021-01-19,76
ut_17,2022-01-02,76
ut_17,2021-01-09,77
ut_17,2021-10-26,77
ut_17,2021-11-09,77
ut_17,2021-11-11,77
ut_17,2021-11-29,77
ut_17,2020-12-18,78
ut_17,2022-02-03,78
ut_17,2020-12-17,80
ut_17,2021-01-13,80
ut_17,2021-11-15,80
ut_17,2020-12-19,81
ut_17,2021-01-20,82
ut_17,2021-09-27,82
ut_17,2021-11-10,82
ut_17,2021-01-02,84
ut_17,2021-11-22,84
ut_17,2022-01-01,85
ut_17,2021-01-08,86
ut_17,2021-01-12,88
ut_17,2021-01-18,88
ut_17,2020-12-27,89
ut_17,2022-01-29,89
ut_17,2021-12-27,93
ut_17,2021-01-11,95
ut_17,2022-02-01,97
ut_17,2020-12-15,98
ut_17,2020-12-21,98
ut_17,2020-12-23,99
ut_17,2021-12-28,100
ut_17,2020-12-11,101
ut_17,2021-12-30,102
ut_17,2020-12-14,103
ut_17,2021-01-07,103
ut_17,2020-12-16,104
ut_17,2020-12-07,113
ut_17,2020-12-03,114
ut_17,2020-12-10,116
ut_17,2022-01-31,116
ut_17,2020-12-08,117
ut_17,2020-12-02,119
ut_17,2020-12-09,119
ut_17,2021-12-31,119
ut_17,2020-12-26,122
ut_17,2022-01-23,122
ut_17,2020-12-04,123
ut_17,2020-12-30,123
ut_17,2021-01-03,123
ut_17,2022-01-27,125
ut_17,2020-12-01,127
ut_17,2021-12-29,128
ut_17,2020-12-31,129
ut_17,2022-01-28,130
ut_17,2021-01-06,143
ut_17,2020-12-29,146
ut_17,2021-01-05,157
ut_17,2022-01-16,163
ut_17,2022-01-26,174
ut_17,2020-11-30,178
ut_17,2022-01-09,185
ut_17,2022-01-22,186
ut_17,2020-12-28,191
ut_17,2022-01-25,199
ut_17,2021-01-04,202
ut_17,2022-01-15,215
ut_17,2022-01-08,237
ut_17,2022-01-21,258
ut_17,2022-01-24,270
ut_17,2022-01-03,287
ut_17,2022-01-19,287
ut_17,2022-01-20,287
ut_17,2022-01-04,289
ut_17,2022-01-05,340
ut_17,2022-01-06,341
ut_17,2022-01-17,369
ut_17,2022-01-18,374
ut_17,2022-01-07,381
ut_17,2022-01-14,417
ut_17,2022-01-13,464
ut_17,2022-01-12,468
ut_17,2022-01-11,497
ut_17,2022-01-10,511
ut_17,2020-01-13,suppressed
ut_17,2020-01-25,suppressed
ut_17,2020-01-29,suppressed
ut_17,2020-02-15,suppressed
ut_17,2020-09-24,suppressed
ut_17,2020-09-29,suppressed
ut_17,2020-10-02,suppressed
ut_17,2020-11-02,suppressed
ut_17,2020-11-04,suppressed
ut_17,2020-11-07,suppressed
ut_17,2020-11-08,suppressed
ut_17,2020-11-10,suppressed
ut_17,2020-11-11,suppressed
ut_17,2020-11-14,suppressed
ut_17,2020-11-15,suppressed
ut_17,2020-11-16,suppressed
ut_17,2020-11-18,suppressed
ut_17,2020-11-20,suppressed
ut_17,2021-04-02,suppressed
ut_17,2021-05-16,suppressed
ut_17,2021-05-20,suppressed
ut_17,2021-05-23,suppressed
ut_17,2021-06-15,suppressed
ut_17,2022-02-28,suppressed
ut_17,2022-03-05,suppressed
ut_17,2022-03-06,suppressed
ut_17,2022-03-11,suppressed
ut_17,2022-03-12,suppressed
ut_17,2022-03-14,suppressed
ut_17,2022-03-15,suppressed
ut_17,2022-03-16,suppressed
ut_17,2022-03-17,suppressed
ut_17,2022-03-18,suppressed
ut_17,2022-03-19,suppressed
ut_17,2022-03-20,suppressed
ut_17,2022-03-21,suppressed
ut_17,2022-03-22,suppressed
ut_17,2022-03-23,suppressed
ut_17,2022-03-24,suppressed
ut_17,2022-03-25,suppressed
ut_17,2022-03-27,suppressed
ut_17,2022-03-28,suppressed
ut_17,2022-03-29,suppressed
ut_17,2022-03-30,suppressed
ut_17,2022-03-31,suppressed
ut_17,2022-04-01,suppressed
ut_17,2022-04-02,suppressed
ut_17,2022-04-03,suppressed
ut_17,2022-04-04,suppressed
ut_17,2022-04-05,suppressed
ut_17,2022-04-06,suppressed
ut_17,2022-04-07,suppressed
ut_17,2022-04-09,suppressed
ut_17,2022-04-10,suppressed
ut_17,2022-04-11,suppressed
ut_17,2022-04-12,suppressed
ut_17,2022-04-14,suppressed
ut_17,2022-04-15,suppressed
ut_17,2022-04-16,suppressed
ut_17,2022-04-19,suppressed
ut_17,2022-04-21,suppressed
ut_17,2022-04-22,suppressed
ut_17,2022-04-23,suppressed
ut_17,2022-09-04,suppressed
ut_17,2022-09-05,suppressed
ut_17,2022-09-09,suppressed
ut_17,2022-09-10,suppressed
ut_17,2022-09-11,suppressed
ut_17,2022-09-17,suppressed
ut_17,2022-09-18,suppressed
ut_17,2022-10-01,suppressed
ut_17,2022-10-02,suppressed
ut_17,2022-10-04,suppressed
ut_17,2022-10-07,suppressed
ut_17,2022-10-08,suppressed
ut_17,2022-10-09,suppressed
ut_17,2022-10-23,suppressed
ut_17,2022-10-26,suppressed
ut_17,2022-10-27,suppressed
ut_17,2022-12-25,suppressed
ut_17,2023-01-12,suppressed
ut_17,2023-01-13,suppressed
ut_17,2023-01-15,suppressed
ut_17,2023-01-16,suppressed
ut_17,2023-01-19,suppressed
ut_17,2023-01-21,suppressed
ut_17,2023-01-22,suppressed
ut_17,2023-01-23,suppressed
ut_17,2023-01-25,suppressed
ut_17,2023-01-26,suppressed
ut_17,2023-01-27,suppressed
ut_17,2023-01-29,suppressed
ut_17,2023-02-01,suppressed
ut_17,2023-02-02,suppressed
ut_17,2023-02-03,suppressed
ut_17,2023-02-08,suppressed
ut_17,2023-02-11,suppressed
ut_17,2023-02-13,suppressed
ut_17,2023-02-17,suppressed
ut_17,2023-02-19,suppressed
ut_17,2023-02-22,suppressed
ut_17,2023-02-27,suppressed
ut_17,2023-03-01,suppressed
ut_17,2023-03-02,suppressed
ut_17,2023-03-03,suppressed
ut_17,2023-03-05,suppressed
ut_17,2023-03-06,suppressed
ut_17,2023-03-08,suppressed
ut_17,2023-03-09,suppressed
ut_17,2023-03-12,suppressed
ut_17,2023-03-13,suppressed
ut_17,2023-03-15,suppressed
ut_17,2023-03-16,suppressed
ut_17,2023-03-17,suppressed
ut_17,2023-03-18,suppressed
ut_17,2023-03-19,suppressed
ut_17,2023-03-20,suppressed
ut_17,2023-03-22,suppressed
ut_17,2023-03-24,suppressed
ut_17,2023-03-25,suppressed
ut_17,2023-03-26,suppressed
ut_17,2023-03-28,suppressed
ut_17,2023-03-29,suppressed
ut_17,2023-03-30,suppressed
ut_17,2023-03-31,suppressed
ut_17,2023-04-01,suppressed
ut_17,2023-04-02,suppressed
ut_17,2023-04-03,suppressed
ut_17,2023-04-04,suppressed
ut_17,2023-04-05,suppressed
ut_17,2023-04-06,suppressed
ut_17,2023-04-07,suppressed
ut_17,2023-04-08,suppressed
ut_17,2023-04-09,suppressed
ut_17,2023-04-12,suppressed
ut_17,2023-04-13,suppressed
ut_17,2023-04-14,suppressed
ut_17,2023-04-15,suppressed
ut_17,2023-04-17,suppressed
ut_17,2023-04-18,suppressed
ut_17,2023-04-19,suppressed
ut_17,2023-04-20,suppressed
ut_17,2023-04-22,suppressed
ut_17,2023-04-23,suppressed
ut_17,2023-04-24,suppressed
ut_17,2023-04-25,suppressed
ut_17,2023-04-26,suppressed
ut_17,2023-04-27,suppressed
ut_17,2023-04-28,suppressed
ut_17,2023-05-01,suppressed
ut_17,2023-05-02,suppressed
ut_17,2023-05-04,suppressed
ut_17,2023-05-05,suppressed
ut_17,2023-05-06,suppressed
ut_17,2023-05-07,suppressed
ut_17,2023-05-09,suppressed
ut_17,2023-05-10,suppressed
ut_17,2023-05-12,suppressed
ut_17,2023-05-13,suppressed
ut_17,2023-05-14,suppressed
ut_17,2023-05-16,suppressed
ut_17,2023-05-17,suppressed
ut_17,2023-05-18,suppressed
ut_17,2023-05-19,suppressed
ut_17,2023-05-22,suppressed
ut_17,2023-05-25,suppressed
ut_17,2023-05-26,suppressed
ut_17,2023-05-28,suppressed
ut_17,2023-05-29,suppressed
ut_17,2023-05-31,suppressed
ut_17,2023-06-01,suppressed
ut_17,2023-06-02,suppressed
ut_17,2023-06-03,suppressed
ut_17,2023-06-05,suppressed
ut_17,2023-06-06,suppressed
ut_17,2023-06-07,suppressed
ut_17,2023-06-08,suppressed
ut_17,2023-06-14,suppressed
ut_17,2023-06-16,suppressed
ut_17,2023-06-21,suppressed
ut_17,2023-06-22,suppressed
ut_17,2023-06-25,suppressed
ut_17,2023-06-26,suppressed
ut_17,2023-06-27,suppressed
ut_17,2023-06-29,suppressed
